sample_fp	plate	cycle
/mnt/data/uluru/input_sbs/plate_1/c1/coordinates.csv	1	1
/mnt/data/uluru/input_sbs/plate_1/c2/coordinates.csv	1	2
/mnt/data/uluru/input_sbs/plate_1/c3/coordinates.csv	1	3
/mnt/data/uluru/input_sbs/plate_1/c4/coordinates.csv	1	4
/mnt/data/uluru/input_sbs/plate_1/c5/coordinates.csv	1	5
/mnt/data/uluru/input_sbs/plate_1/c6/coordinates.csv	1	6
/mnt/data/uluru/input_sbs/plate_1/c7/coordinates.csv	1	7
/mnt/data/uluru/input_sbs/plate_1/c8/coordinates.csv	1	8
/mnt/data/uluru/input_sbs/plate_1/c9/coordinates.csv	1	9
/mnt/data/uluru/input_sbs/plate_1/c10/coordinates.csv	1	10
